dt,algo_vol
2025-01-01,318659761.37352836
2025-01-02,407376165.8965665
2025-01-03,274291250.2232893
2025-01-04,548036142.6155928
2025-01-05,118738067.8773343
2025-01-06,233222161.08667254
2025-01-07,261644127.90969884
2025-01-08,295075233.3248746
2025-01-09,269457339.6955739
2025-01-10,443867050.3298261
2025-01-11,140433522.01580346
2025-01-12,105283976.87911242
2025-01-13,317271159.33910596
2025-01-14,471402050.3544593
2025-01-15,238814078.83606365
2025-01-16,478382202.02633953
2025-01-17,220658625.79542452
2025-01-18,178269459.95930403
2025-01-19,203550486.57302934
2025-01-20,269632986.0309599
2025-01-21,184955690.33788735
2025-01-22,161429455.07937485
2025-01-23,272397572.40693426
2025-01-24,249195408.77744144
2025-01-25,117827472.36798623
2025-01-26,124686775.83187088
2025-01-27,240222410.65346307
2025-01-28,147112844.0591244
2025-01-29,117448847.20807546
2025-01-30,160789613.2826918
2025-01-31,209125369.9490645
