dt,ora,talgo,vote,gobtc,opul,tiny,monko,niko,goeth,alpha,gora,deathos,daffir,shame,stbl,golddao,malgo,coop,xalgo,compx
2025-07-01,214580.93047285956,3958230.6633020006,1077010.1079249994,1.5437351200000002,337920.4660528449,2418347.1968990015,9302586619.09833,410991922.79630405,9.844868120000001,5195179.460378998,424550.922317255,184086.00168438003,552174.5356849997,2724002.4519770015,3727.8749319999997,7896.019692999999,162303.160941,1175060.2093020007,11087800.486781009,2713616.3300530007
2025-07-02,23981.57908628994,2049319.3723130007,470915.885577,0.40288770000000007,602432.9111232626,1983027.4094660003,9400168159.721487,10193902.297315,4.533000899999999,6436291.357638002,983376.3402902819,852018.9056546497,151860.320296,12301564.079016017,2967.646995999999,843.298666,116492.41387700009,543279.5958819998,2502871.13507,3474627.3941389997
2025-07-03,29196.774155700165,1895246.2315579993,363313.68744399986,0.7873953100000005,411162.24550890457,3807908.9973129993,3977147822.813885,22679868.035352003,0.78895921,10128967.339270998,560912.607022346,845195.7190894184,123059.495815,24312586.224278923,2034.408938,1332.0775349999997,39399.14558300002,684796.5349719995,4523618.483252,6492141.113094002
2025-07-04,43468.5597700101,7901704.7594080055,361200.401913,1.6468236200000004,272406.8419838637,2793510.0156570016,4395122129.414886,86359322.13614899,56.911864850000015,1394287.066662,3573371.0583646735,1097031.537230951,126522.65272000004,21425543.84542491,1928.3540880000005,372.67267299999986,65321.06368700009,372297.25379199994,7270906.646592003,1800028.8142600006
2025-07-05,121644.89385213102,1499964.1031240001,145317.15377399998,0.5580145700000001,1683901.604575498,661480.7909809998,2052401846.8719141,7500715.322490999,6.812812759999996,1245325.4521569998,453879.637968444,7092921.199487131,44451.933898000105,174732821.41222256,1554.948701,41.920525999999995,13429.853588999995,118083.080695,2970658.80069,559587.6010499999
2025-07-06,219082.4496219006,1025289.5975569999,127155.25674000001,0.08631669,4276860.641072616,1251280.4106210005,20096184863.636917,13508268.359424004,0.6044932,4406963.406694001,1480720.005681104,2639155.01901374,60253.65470900002,28270930.579954002,4062.9514969999973,170.780994,34469.542753999995,66900.754468,9711208.630848998,1708876.881267
2025-07-07,324750.2094313306,3461224.603655999,302954.47054300003,0.29601020000000006,4208216.07095387,1960208.3628490001,4177312041.880521,25210353.233255,21.421261269999995,4066355.0590270003,684577.949129957,3679254.8594450606,83100.15644599998,9438911.846063,3683.347386999998,188.46161999999998,32712.798751000002,384785.19280400005,4581086.075157,1704432.6004459995
2025-07-08,74885.48559036058,1713538.3066569997,255663.39077500012,4.71795731,2013080.751467185,2350160.8151939986,8584468717.780192,4371179.449254,0.69901103,4662575.161819999,1278932.588769116,2822309.27434734,196301.48374599998,100708904.37645802,1103.943172,263.130605,11266.684115000002,1076031.7607150003,4622330.741718002,509045.6481200002
2025-07-09,25556.806684549774,4114845.867298,472785.17906100006,1.1332799900000003,3280610.2173993173,1406212.6800639997,5499365676.791291,30744835.373242002,2.1907352399999995,4354172.268081,3980475.6191290794,2123953.70016628,504288.06294800004,9852387.682497999,3477.494098,597.671024,56668.767022000015,1744648.8429830002,11126835.376413,1208645.0931399995
2025-07-10,68586.13725322038,4935249.9464380015,1009556.0490799994,1.5122401800000005,4930717.975463608,5420279.909455,4625398891.670043,123132823.83966404,6.3457059000000005,6486685.249070002,608361.5197106539,29831.57241716,202925.168318,,7521.430562000001,4028.62136,61270.68324500001,1928282.3509909997,8076501.765040001,3434370.738890999
2025-07-11,38133.03844898059,4802576.872767,1496418.0095119998,2.9480500799999985,7147977.03186286,5093738.115750003,16327252963.232464,60378983.16441001,59.225918259999965,10065133.187084,1465374.1433167204,1352632.6006328606,637215.234232,3956730.832026,23277.541972000003,5504.6503820000025,190962.306769,2266207.9610069995,5328997.597048,7456259.178727003
2025-07-12,37628.40747521078,2937951.6670850045,414205.1016500001,1.3606802700000002,2328786.8110784325,2044231.261434999,7328233973.99663,9462035.504724002,5.893522020000002,1354349.254458,1197362.0629574463,697071.2057625296,177158.45756799998,2816951.720376,5973.248846,2782.0640190000013,36448.20414600001,1793046.140524999,5575696.938042999,801682.8537009999
2025-07-13,72989.38665940017,5633421.905010996,2718041.2760949982,6.431938209999987,1822841.4819225362,5814361.504632998,15263825194.164951,251511898.26369607,57.92712523999999,8060559.673933,3847539.282980305,34831007.68932331,9976083.880428007,539226434.9835,32437.215998999993,10586.307014999999,660992.316506,1153667.740648,12696274.200237997,3391287.6231700005
2025-07-14,50726.62232669003,7408784.005846001,2026432.4377869996,5.234749989999989,6513806.719238156,5310168.401949,52432863639.40957,56242464.959653996,39.92971439999996,22396590.290774997,2610732.002279207,1768206.47055359,2847311.4498930005,59718251.86904898,32858.51799699999,6279.460374000001,225093.45609,1880136.4477710004,11526419.566959,5845854.833624003
2025-07-15,136213.5604729912,4996424.030541,1266673.939157,5.047430209999998,2499422.427162831,14083445.260706998,24228009968.960953,12771696.144956,44.698973060000014,20577417.57785899,1797790.0511248165,866781.9350045209,1713516.9659479996,21772768.322672963,19853.762370000004,3729.491744000002,899929.140397001,623225.5808829999,7880265.027774001,2723148.3427290004
2025-07-16,64244.492348840045,3673733.5253829984,721534.4313400001,2.022908349999999,6613987.124818126,6078372.598322998,20498345232.406128,95226218.09994201,34.663800310000006,7274176.710809,861715.8206373062,831966.471771911,210379.395506,17013211.432594985,14771.382987999994,1305.3875990000001,45504.561072,376283.20342900004,7496601.329594004,1439408.7825160003
2025-07-17,68071.98829129062,4998996.890589997,1725359.6385939997,5.182228399999987,6950231.651331948,14105717.558114003,35106993458.16653,55003409.949211985,22.580996809999956,10937916.168616997,617689.809293029,1128900.7742000096,430255.4190180001,36677329.01484499,17005.548349,9231.178141000004,116613.167077,1242308.0556949999,4848370.245018999,4590695.449406001
2025-07-18,59772.4504774001,5702778.733226,1048254.6728199999,4.037140629999994,8484362.251316983,4899613.783151997,42354145501.280495,152682336.911737,19.98670322999998,4762822.761608999,1441022.0339213551,7023031.591534878,286507.0443290001,156863545.832643,10742.850095999996,2131.2501840000004,233147.2916759999,609268.0600639998,5738103.023267001,3183524.155944
2025-07-19,25836.051182910036,1865851.8860790012,706099.0214960001,1.1822789699999992,2462213.428337998,4315603.064398999,14738090999.55437,41655004.322171,3.97523152,9133685.991422001,543082.399126599,1979305.0042684404,136224.730856,4982264.705669,3092.746833,187386.65959600004,25656.926308,193752.52051299997,4473803.444164,1508946.04604
2025-07-20,75420.44930760037,2602188.7897039996,449697.445024,1.1263401199999994,2962416.190133035,3564889.6248529917,23167581180.509117,7238660.984510999,9.541840809999998,2841984.0617090003,1131775.181359158,1376793.1256092198,495618.352878,4759160.51106,5490.708657999999,118215.487831,34559.45323300001,225703.440994,8916338.766801998,2229876.6267170003
2025-07-21,85652.40257713063,2306079.3267949997,680864.7632589998,2.52974158,4642555.5140100615,8664493.223367987,26538156383.17258,9996876.14717,7.977599089999982,4844720.830258001,762319.8604781856,2289747.6762821903,345858.22204400005,4873630.51126,8631.503649999999,329133.7336819999,499000.60912700003,861805.7449610005,5485641.731978001,738003.6178189998
2025-07-22,122661.88304209073,6178119.532934996,1109490.4042409998,2.3171937899999957,2381991.1324722045,5619071.502815,33728831516.038822,116656536.6408069,3.91040476,7440710.670129004,325091.0169102649,204934.06511147,407756.09508500004,,7550.276875999999,295356.06559399987,47801.696974999984,399931.3239719999,10108089.360991998,1692775.9772169997
2025-07-23,55598.7769791604,2989431.098176,786209.832219,1.7592922600000003,7399301.296599638,2310812.195833999,24980063040.56997,40992783.17503999,7.0417566900000015,4452842.033269,555214.2039790828,974269.6958983699,258098.03993999993,5767958.242765,8238.988693000001,16922.448242999988,44329.215952,352990.4356530001,7545515.8213410005,2199441.1832830003
2025-07-24,23580.677632289593,3214422.5413669962,1404818.10174,1.3618453699999973,1650233.7052806977,7147100.465318998,11228048730.99586,78399436.64319001,6.395128899999999,6602712.112004996,567763.4433181339,105027.04529826,217422.40733300004,,10222.964217,24074.502173999997,36917.898049999996,1221582.8263080001,5040404.996635001,5384448.944356999
2025-07-25,38006.67281748978,3012688.701317002,1594774.9799479996,0.9338236000000008,3600721.0950734173,1629392.3526700004,10716772392.784533,25672557.90635201,7.461172150000002,2981903.581315,301627.8711244369,778073.6529142999,244183.45477499996,788704.342072,11720.109999000002,29052.63567699995,333423.52241599985,316517.331382,7579598.002185,3687155.003380999
2025-07-26,18049.51445553982,2360684.392158999,452538.815746,0.975713229999998,2317592.657703104,1262653.0924079998,5345372591.574427,7003312.480557999,4.9179436700000005,6993078.827967005,521617.875532779,2167129.7681260896,95161.69617999997,31957896.903102,2146.235093,5140.620681999999,30278.830218999996,141080.13916500006,4109411.1283670003,2525582.9384949994
2025-07-27,39716.9331388713,1313280.0642370002,496341.913804,0.7534172099999997,3256769.437562242,791995.7629099999,19582166459.341396,8679517.205846,12.265590809999996,4876000.859857001,434668.61058409594,84053.17947769,133364.27725299998,,4488.881520999999,12616.053990999995,26458.609064999993,149483.17457200002,7154700.093989002,3521446.3502149982
2025-07-28,487803.0250653323,1217840.4580909999,791444.4524589998,1.22191551,3640471.291860397,13074446.808917003,75111770216.92929,8119584.623219001,6.32493625,4632685.404044998,2096991.6055363545,445867.0673951899,153629.80059199999,3080262.454179,5744.694273000001,13425.843543,24726.504077999994,271404.039248,2830805.621844999,2598532.4300939995
2025-07-29,91597.12784514044,1188528.053050001,478243.7315670002,1.2922427099999971,1137159.9477671573,1288513.932128,23351141663.97903,30194162.66735099,3.3495186599999993,1774503.968746,211709.94849246103,11018.02942044,231471.90198899995,,4723.317739000001,4128.3556450000015,23304.180952,259520.94864599992,4716343.682019,1850566.5099789994
2025-07-30,58316.97556562036,1607220.2619510002,838524.0560819996,1.57866847,1264734.5232778054,1975356.0901070002,11754707951.489067,186351807.92817605,2.803941340000001,3082480.144886,1352605.6437984328,683657.6284282098,181829.788878,1101070.12381,10680.841419,5696.463115999999,33674.243422,269276.02488199994,6010948.608917,1571443.7568580003
2025-07-31,37421.38877622005,3118982.9716539998,906314.668658,1.4363325500000004,1285050.1730669742,5392781.2675,25056487335.63759,53313314.989571005,4.626478329999999,5771099.039001,2625756.7590853344,1612264.5784185003,1058295.9907609997,5742056.314091001,6705.30611,6658.377555000001,30537.847217000002,847073.134747,4039621.044262,3913294.091133001
