dt,hafn
2025-03-01,37840677.48
2025-03-02,72818051.50999999
2025-03-03,105560986.40999994
2025-03-04,89626278.98
2025-03-05,77019401.34
2025-03-06,184455849.20000008
2025-03-07,13825711.89
2025-03-08,63950799.06
2025-03-09,156606905.01
2025-03-10,104731512.37999997
2025-03-11,132275392.51000002
2025-03-12,78306157.53999999
2025-03-13,140757061.45999998
2025-03-14,13929743.19
2025-03-15,79467463.59000002
2025-03-16,143072637.70000002
2025-03-17,89867347.13999996
2025-03-18,106456168.27000001
2025-03-19,94836917.59
2025-03-20,101793956.42999998
2025-03-21,93438346.71
2025-03-22,120073277.97000001
2025-03-23,132594457.49000001
2025-03-24,123482937.20000003
2025-03-25,156004028.08000004
2025-03-26,130277294.09999993
2025-03-27,254008673.3299999
2025-03-28,46396776.61
2025-03-29,125885819.98000002
2025-03-30,2767576.5700000003
2025-03-31,51564804.510000005
