dt,usdc,usdt,eurs,xusd
2025-11-01,5750125.254122863,1362.2830909999993,201.066729,7735.364053000002
2025-11-02,8467502.429345932,1125.450797,176.04183900000004,15047.732488999995
2025-11-03,13855460.678292911,5942.926741999999,3163.584582000001,44969.289032
2025-11-04,28025552.625560142,16422.135231,2914.629447999996,62465.21810099997
2025-11-05,13932981.837664125,3984.728854,27163.705071999993,24461.938528999995
2025-11-06,15902951.75112098,32890.07317599998,2407.1217000000015,43932.37206599999
2025-11-07,15368684.000555914,4716.741608,1301.910436,50706.155387999985
2025-11-08,5805033.697176912,2822.8927590000008,525.8801829999999,31357.375076000008
2025-11-09,8034458.000933902,2744.298219999999,388.4665139999999,29336.992855000008
2025-11-10,17766452.75994381,15449.335799000008,650.565047,69494.41181699999
2025-11-11,8053788.01657888,20846.712589000013,385.09665300000006,101270.29103099993
2025-11-12,11711983.263760597,16656.263858,559.719129,29741.383070999997
2025-11-13,11396968.466020884,2311.8649199999995,704.8536089999999,55945.728893
2025-11-14,11191965.67847997,4449.453979000002,715.9845109999999,113432.33742999987
2025-11-15,5261354.125676996,1528.9541950000003,410.275486,8058.119149000003
2025-11-16,4619098.606054925,3736.2082740000005,657.008734,22433.394311000007
2025-11-17,109634537.79237202,4328.500948000001,980.044568,22425.209199000004
2025-11-18,6798255.209660023,3687.3090180000004,1049.8274560000002,41904.257461
2025-11-19,7582773.520132017,3949.4497190000006,652.706716,48092.878712999984
2025-11-20,7796805.739352005,5750.067410000001,1396.2294759999997,52708.533871999985
2025-11-21,18643411.28835095,42469.939413000015,4536.327579000006,58686.188729000016
2025-11-22,7636689.108490923,1251.4181399999998,442.6834970000001,13529.892061000002
2025-11-23,3746211.3652089755,1286.341906,549.08679,22800.503701999998
2025-11-24,6696504.471721052,8925.943692000004,610.3253289999999,15754.594042000002
2025-11-25,5233420.990121047,28239.877332000015,301.281231,13559.470224999995
2025-11-26,9063504.440670134,3627.442762,311.507597,14839.603508000006
2025-11-27,5336481.912875009,4353.2164649999995,11353.27858599999,51000.959714999975
2025-11-28,5469142.229964001,3748.1886410000006,1523.5883279999998,42083.46294900001
2025-11-29,2468190.325848005,7900.393688999998,257.88228200000003,29497.096800999992
2025-11-30,3028108.2253840244,5860.208209000002,271.16191000000003,312595.80499700014
