dt,ora,talgo,vote,niko,tiny,gora,gobtc,alpha,daffir,chip,compx,monko,coop,deathos,opul,shame,xalgo,yldy,gold,juan
2025-06-01,23943.53985341008,3362177.155610999,266789.49217299983,187132424.83733204,6216179.908031,431609.70663798,0.38279491,9210057.575107,241592.520602,19534911.199999996,2506727.603681001,15352240411.765139,302260.735534,26374.057643,238904.4982678495,1057857.75907,2054337.9090809997,13412654.337396,17.463583,
2025-06-02,75937.12978591016,3174078.8040729975,417267.9687930001,10881823.373475002,6706941.688542997,3336592.3316616607,1.1926290800000003,5261791.353389,517657.29535199987,9190477.9,1203077.8096140001,41671909362.62746,3435968.1375390007,45868.4753921,7594435.712702466,,6932643.085483001,10014376.162420003,46.082278,2957450704.6566615
2025-06-03,38799.82723268,2357692.7621070007,274984.90861599986,136890309.243287,1622980.5654189994,206006.761464036,0.62140643,10140667.502267003,182965.284538,9484507.100000001,1225758.091696,26514441939.5096,1542547.609662,1056078.0046067003,10808729.418534782,3678666.324094,2720763.2231880007,39426615.75029901,37.186420999999996,720357693.4827471
2025-06-04,47882.83753297025,1588805.994056,229831.04270499997,40083085.570593014,990567.8541589999,485330.7761732052,0.7758707799999996,4387034.571397998,215723.35258200002,5303384.400000001,964753.523085,19568037121.730534,103551.35003799998,20684.41843972,2740950.998643752,359908.62109000003,1957495.4435999999,156876417.002808,25.855314999999997,679472846.5886003
2025-06-05,92553.19267673025,3831033.076916,1233328.8873140006,61051207.15859199,4773339.68677,1853499.8302241676,1.8439793699999965,19177486.864859983,308538.62947,2222803.8000000003,3718442.925505998,25164452329.095463,551663.3791140002,522064.84988633,2148710.117046317,1328704.4166720002,3259216.2368270005,170716479.39074883,157.96978000000001,200579094.23633593
2025-06-06,36771.200710129786,1040568.489656,334301.68767500017,6423591.579223001,1664832.7719530005,311315.4557955431,0.3690074800000001,4438745.331829,197735.68293899996,32970778.8,729101.3511709999,13604103548.983498,202715.96742700003,782841.0286695102,536913.5005933264,3294709.5346379997,3005975.430845,8639963.123843998,217.82293000000007,175766039.44594404
2025-06-07,48119.506387760004,1015992.0394159999,184296.63895900003,39497383.924711,1830284.9541239995,142337.45660479806,0.7411571299999999,8542822.983354002,275514.3171510001,2227584.5000000005,1198426.4295779997,5923619208.466521,95578.297639,1139966.9053132306,194749.7084261755,2248365.682,22544719.172376998,1457874.0524579997,213.97839800000065,349214837.83313787
2025-06-08,46586.46695531997,1248536.9663759996,238337.020808,6043421.772368001,3290251.8492420027,338507.1406771341,0.60406927,7722833.317689006,506080.63206800015,1984414.3,1404236.1400679997,30741549931.53913,255847.41972800007,906370.1402741799,228780.52262352602,1668735.6602979999,1432370.1815819996,1505073.7373249996,354.1404019999998,494083417.89849985
2025-06-09,224521.08845669925,2433223.961869,262623.142666,40572777.346051015,975402.6971120003,1960053.021913303,0.88246642,20247422.867903,129014.50849799995,21790931.200000007,1846901.9314569999,27961612910.934273,285061.787104,16987.47518638,2009046.3378193234,65784.12588800001,3538952.5914550005,29349079.441563018,83.25509899999999,421022049.4838029
2025-06-10,32689.897125920124,2581400.5207240013,350459.6850199999,53442215.551424004,1283793.4641350002,503628.10029692994,0.5063732200000002,18306362.516182,237156.893095,5972122.7,994080.9864399999,26402512253.983814,181921.743827,697415.3780207899,403845.1172013516,5564956.595737,3548842.9343560003,14696639.160413003,29.917993999999997,217653620.78916404
2025-06-11,45130.53598019016,851679.4265179998,295444.97419800004,93204432.905141,1043249.4966920001,527558.346695701,1.190962349999999,8145819.228729999,90658.73326599997,3232551.1,1739149.4494180004,31955554569.695503,251277.50658400005,,1466371.6198959528,52935.445186,1248154.3664990002,2493036.2571830004,46.887381,495944439.828769
2025-06-12,64680.009998170244,8711571.834989997,1148241.946906,49156199.31072,4862102.834699,902425.9688440962,2.79911321,22592554.331589002,460334.90530199994,14642013.000000002,4090120.269716,78387557191.2773,830440.0859670001,1433179.2611805703,1450236.038593753,30527364.526182,13628632.753515009,10508899.676422002,268.50738199999984,569385368.074807
2025-06-13,244456.9911610012,5794047.870749997,1375399.530407999,40927905.56725699,2816186.619056999,1213007.4406799632,1.480715279999998,17412201.669474,1026445.2831710004,71125721.99999997,2164972.9512890005,139976503273.55304,1929529.683827,46166.9176307,1655331.1780410083,1018452.670842,10746404.931829996,23515300.32749901,572.7794910000007,237023716.176627
2025-06-14,52192.92973023058,1713643.0241469995,308367.216295,9375694.811388,2128918.721653,1069150.7425269277,0.42387404000000006,14420648.765995001,377792.527433,10132057.3,1566311.4158120004,16525783379.277214,369120.2812230001,120562.37235098,683093.038325276,493797.800756,4866705.906192,1202972.2038899993,475.83241500000014,82304021.21467504
2025-06-15,36230.654362800815,2507303.214072002,563849.3909180003,29784383.852414005,1344652.3254140005,584016.656843088,1.5611491399999993,11798581.365102997,138058.285421,15507187.300000012,12462997.751206001,19453898409.266796,817410.0253079999,,117594.14142515487,,6910199.336727,816768.2264130001,20.533542000000004,444521999.05332416
2025-06-16,45182.582605480035,2936140.7072880017,716849.6054979999,25497792.34010901,2842164.292495,278351.752675381,0.5176626500000001,17611345.968975,653574.0108270001,11091736.699999996,11535802.061537005,20990055689.245052,807747.4136199998,191298.94149328,779401.8280250547,485698.040232,2793019.141545,1247995.1893690007,442.70222,657963862.3144401
2025-06-17,125304.09301197037,3839690.608717999,1108235.9050170004,65199605.12949599,3153616.7870959993,326364.77182524104,3.4857660899999936,13399794.192597996,856272.5454919997,3891547.4000000004,9105194.977059998,29740301072.720894,354188.9095469999,35524.8539027,1410352.9415662494,,8756745.976042999,21941238.71223702,62.254478000000006,430839036.116024
2025-06-18,441025.28760245856,2704423.4599849996,699739.0428149995,36375579.30309401,1139570.1082670004,373245.6104537109,2.6965125700000008,19918814.799519997,2291232.280870001,6916663.6,10270366.363133993,29675284382.24435,1772979.062135,83263.61585074,991186.5274164864,1131218.649396,5149018.431477999,2742593.2501370003,217.72274000000021,2037911993.9300432
2025-06-19,27626.62119597023,2410052.3513749996,270765.00669800007,35099975.928222,2324675.3047659984,93538.437717861,1.03220245,10906603.241124002,100455.194726,2066584.0000000005,1460948.318992,7726913334.279647,239317.09562500002,450505.02038213,3518254.932327762,567176.58252,1733476.9022419997,2459257.511952005,21.980211999999995,83618882.12613401
2025-06-20,45621.77911519121,3679541.8633629987,1953556.2335600005,61814664.819323994,1592969.3309379998,336456.6847625229,0.8077333700000003,37879027.01432097,138722.03447899997,18903742.1,23465171.232848007,15988483231.933258,1684153.112336,,1711784.3999362634,,6619663.049368999,31543741.683773994,26.242414000000004,1171285155.9417372
2025-06-21,36456.73988014022,7849905.614620001,1082584.7865650004,4233369.107023999,2270920.089997,646181.3202171411,0.47174485000000027,9812971.020754997,248410.89175799995,70641393.30000004,4785839.545931999,25489332589.815296,1928136.3709119991,1989503.6838978298,1775328.4390280314,6951145.727372999,14123284.217124993,13418396.428162009,243.83218200000005,214865318.97883794
2025-06-22,225903.04412852088,8022523.043958998,1346744.5208690003,14854492.247576997,2146453.9451649995,2064675.22293644,3.095948369999999,17305226.758233003,1519292.861232999,2809549118.4,6525241.663643,51281647632.1278,2349468.879523,2590389.85891946,1299717.566337105,7946302.662358001,1606937.5352249998,63098710.50649498,102.04819900000001,133242086.92763598
2025-06-23,133990.1764300212,3712620.5765999984,984370.9535700007,10363248.143156,3733348.9725509994,433994.63084458996,1.6432349399999993,8222232.354622,504107.2569269999,4824285520.100003,1283644.2946749995,55253006627.009026,1242316.6811789994,323282.4560202499,1026243.753469937,8265574.304268,3523939.0920890006,11791789.827037001,402.2742600000001,45336199.391724005
2025-06-24,121364.7837447713,2087301.9802569994,521588.446921,51918165.881584994,3211076.674487001,3410468.0073819766,1.4405447500000004,6921478.779224004,512483.37995,555823115.6999997,5675069.787477999,70125084113.53816,228375.47488999998,21213908.92185757,690493.211778399,622507082.4279221,5271456.743563001,2637049.025017,214.7682080000001,322407138.051689
2025-06-25,69909.8723643016,2178126.654919001,394931.57264499995,46594761.92186201,1358410.7440950002,1169324.9335618508,0.4628284799999997,3862074.078299999,159864.44248199995,348703605.29999995,1329722.3895159997,13702073606.85207,191549.06238600006,6342660.51686946,727871.2453431514,95684735.722356,2477641.855927,1219626.239538,7.235802,44061838.55298
2025-06-26,64555.587212329796,1766233.902721,351589.6676429999,63556683.09073681,5769661.887224997,412774.1993044529,0.8377516299999999,6139373.4182279995,151070.234901,968020026.3000002,2205196.6175609995,3541852151.801958,434308.55264999997,6029724.922688776,436261.0480218655,89724711.68426543,2029626.488534,28785483.420242008,72.26066900000001,24971516.962316997
2025-06-27,142832.00108023937,1627061.5183079992,528860.6544610002,9332028.140481,861223.4309440003,798344.2466017792,0.39731531000000014,10710467.004352996,93159.57532899998,873007846.0000002,1834166.9788600001,16156021698.070988,256420.71840199997,2411385.1011410607,661556.9059767526,20991159.16002998,3471875.8483579988,19273270.827449,15.463948999999996,8185268.546793
2025-06-28,13785.273560720047,3316371.5816830043,427927.8358799999,26073394.888836004,1138029.2398370001,200284.614336983,1.8359302499999999,7510654.565087,110739.55785999999,64234791.60000002,67211076.886033,11578210868.850212,230757.053889,992998.6214828192,758079.3103353594,24658142.779055983,7937638.161661001,3878679.5886550006,358.935231,14757589.81173
2025-06-29,53576.275817290276,6540342.621033998,347561.0229209998,7629922.483853998,1587158.2237430003,573898.3717170808,2.2693890500000005,8954373.697294,204623.880622,81948506.60000002,2578758.6854499998,7025839678.502322,253293.81963499996,1690526.9270194084,1095871.519799303,25197353.371673964,1858406.7297980003,133501434.44112903,313.85955200000006,4403133.015558001
2025-06-30,33057.9341982502,4963123.490836999,685942.4135150003,14056565.417872999,3423883.0447730003,262699.09479082195,1.3175335899999998,5936537.210125999,304066.95690999995,157207755.00000006,4702035.394712999,26961179742.98737,3237840.244403,2110045.9737924007,242389.91089445117,24766997.044047948,16033016.471698001,54775259.61483,222.50568800000002,8427725.189185
