date,hafn
2025-11-01,158945419.72
2025-11-02,255009899.09000033
2025-11-03,442664924.19
2025-11-04,358664612.72999996
2025-11-05,251768181.7700001
2025-11-06,241420908.22000006
2025-11-07,304297010.48
2025-11-08,224261833.95999998
2025-11-09,233505469.23
2025-11-10,306409791.47
2025-11-11,248589334.5699997
2025-11-12,285749243.98
2025-11-13,411540838.7299999
2025-11-14,21877692.78
2025-11-15,151870859.78
2025-11-16,355337117.2899999
2025-11-17,165742884.44
2025-11-18,293881536.48999995
2025-11-19,262244490.17000005
2025-11-20,280640945.78
2025-11-21,35363342.17
2025-11-22,123635703.89999999
2025-11-23,181580171.32999998
2025-11-24,368041332.90000004
2025-11-25,106922137.42999999
2025-11-26,278971661.33
2025-11-27,202568015.74
2025-11-28,50313188.16999998
2025-11-29,143946226.64000002
2025-11-30,266396616.19000003
